date,product_category,store_id,promotion,day_of_week,holiday,competitor_price_index,daily_sales
2023-01-01,Electronics,2,0,Sunday,0,1.0490873789203907,53.6
2023-01-02,Electronics,5,0,Monday,0,0.993459004459147,19.200262360140485
2023-01-03,Home Goods,1,0,Tuesday,0,1.033599555991692,15.200415406393924
2023-01-04,Clothing,5,0,Wednesday,0,1.0316285846479842,24.801016659436485
2023-01-05,Clothing,1,0,Thursday,0,1.0049108754401737,14.400787096554296
2023-01-06,Clothing,4,1,Friday,0,0.9605194753645742,46.08314840772804
2023-01-07,Toys,3,0,Saturday,0,1.0136973450393436,56.80465705158281
2023-01-08,Clothing,2,0,Sunday,0,1.0881883809275863,4.000382624223129
2023-01-09,Toys,4,1,Monday,0,1.0594879929348557,50.885562300995794
2023-01-10,Clothing,3,0,Tuesday,0,0.9697263905474865,12.8015742468867
2023-01-11,Home Goods,4,1,Wednesday,0,0.9242236309288219,40.32550990174915
2023-01-12,Home Goods,5,0,Thursday,0,1.0794170630572908,16.802525388889467
2023-01-13,Home Goods,3,0,Friday,0,0.9856618822625186,16.002623798591234
2023-01-14,Electronics,4,0,Saturday,0,0.9781898150668756,36.806537676157966
2023-01-15,Clothing,5,0,Sunday,0,1.0323089748434922,20.803979482242234
2023-01-16,Clothing,3,1,Monday,0,,27.845706878910775
2023-01-17,Clothing,5,0,Tuesday,0,0.9707434058491416,16.803673418420384
2023-01-18,Home Goods,5,0,Wednesday,0,0.9500554078163598,27.2063191974823
2023-01-19,Toys,5,1,Thursday,0,1.0911328615520433,57.6141690932412
2023-01-20,Clothing,3,0,Friday,0,1.0919411658995974,15.20394681914268
2023-01-21,Toys,5,0,Saturday,0,0.9026051995839075,36.810058444379074
2023-01-22,Clothing,4,1,Sunday,0,1.058811500122593,37.45074511595535
2023-01-23,Electronics,1,0,Monday,0,0.9774043439827531,53.61611559741053
2023-01-24,Clothing,3,0,Tuesday,0,1.0704912606345238,32.81031011682058
2023-01-25,Home Goods,1,0,Wednesday,0,1.0266764435691076,4.001312006863102
2023-01-26,Toys,5,0,Thursday,0,0.9343221486561514,56.01913356415235
2023-01-27,Home Goods,1,0,Friday,0,1.0391929573436078,16.005685440766026
2023-01-28,Clothing,5,1,Saturday,0,1.0366874102046577,20.167439231401115
2023-01-29,Toys,3,0,Sunday,0,0.9622346102681103,55.221123887816844
2023-01-30,Toys,5,0,Monday,0,1.060989319111517,33.61331732461653
2023-01-31,Electronics,3,0,Tuesday,0,0.9248301932010811,33.61377663683816
2023-02-01,Electronics,5,0,Wednesday,0,1.0513256508933642,32.013558052701065
2023-02-02,Clothing,4,0,Thursday,0,1.0567432271982669,32.81434539248879
2023-02-03,Clothing,4,0,Friday,0,1.0769876769388202,27.21226801855915
2023-02-04,Home Goods,5,0,Saturday,0,0.9356482080863102,30.414126905775493
2023-02-05,Electronics,3,0,Sunday,0,1.0435366261145333,44.821431056123686
2023-02-06,Toys,2,0,Monday,0,1.0034269085330083,36.818107179304384
2023-02-07,Electronics,3,0,Tuesday,0,1.034380669431284,20.810518855985976
2023-02-08,Toys,4,0,Wednesday,0,1.0499492650757036,27.214127291886555
2023-02-09,Toys,1,0,Thursday,0,1.002818343170936,192.10234702444166
2023-02-10,Electronics,5,0,Friday,0,0.9271851349279707,59.23236637418282
2023-02-11,Toys,2,0,Saturday,0,0.9583969089364947,36.82062276986807
2023-02-12,Home Goods,2,1,Sunday,0,0.9585181072470598,27.8559822091191
2023-02-13,Toys,1,1,Monday,0,1.0882323573056527,57.633854171820296
2023-02-14,Clothing,3,0,Tuesday,0,1.0364826962988363,28.016839722494172
2023-02-15,Electronics,1,0,Wednesday,0,0.969424006924106,25.615746341613985
